EXTRA,DATA_TYPE,COLUMN_KEY,TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,IS_GENERATED,TABLE_SCHEMA,PRIVILEGES,NUMERIC_SCALE,TABLE_CATALOG,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
NEVER,varchar,<blank>,<blank>,PLUGIN_NAME,varchar(64),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,PLUGIN_VERSION,varchar(20),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,60,20
NEVER,varchar,<blank>,<blank>,PLUGIN_STATUS,varchar(16),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,48,16
NEVER,varchar,<blank>,<blank>,PLUGIN_TYPE,varchar(80),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,240,80
NEVER,varchar,<blank>,<blank>,PLUGIN_TYPE_VERSION,varchar(20),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,60,20
NEVER,varchar,<blank>,<blank>,PLUGIN_LIBRARY,varchar(64),def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ALL_PLUGINS,utf8,<blank>,YES,192,64
NEVER,varchar,<blank>,<blank>,PLUGIN_LIBRARY_VERSION,varchar(20),def,7,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ALL_PLUGINS,utf8,<blank>,YES,60,20
NEVER,varchar,<blank>,<blank>,PLUGIN_AUTHOR,varchar(64),def,8,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ALL_PLUGINS,utf8,<blank>,YES,192,64
NEVER,longtext,<blank>,<blank>,PLUGIN_DESCRIPTION,longtext,def,9,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ALL_PLUGINS,utf8,<blank>,YES,4294967295,4294967295
NEVER,varchar,<blank>,<blank>,PLUGIN_LICENSE,varchar(80),def,10,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,240,80
NEVER,varchar,<blank>,<blank>,LOAD_OPTION,varchar(64),def,11,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,PLUGIN_MATURITY,varchar(12),def,12,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ALL_PLUGINS,utf8,<blank>,NO,36,12
NEVER,varchar,<blank>,<blank>,PLUGIN_AUTH_VERSION,varchar(80),def,13,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ALL_PLUGINS,utf8,<blank>,YES,240,80
NEVER,varchar,<blank>,<blank>,GRANTEE,varchar(190),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,APPLICABLE_ROLES,utf8,<blank>,NO,570,190
NEVER,varchar,<blank>,<blank>,ROLE_NAME,varchar(128),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,APPLICABLE_ROLES,utf8,<blank>,NO,384,128
NEVER,varchar,<blank>,<blank>,IS_GRANTABLE,varchar(3),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,APPLICABLE_ROLES,utf8,<blank>,NO,9,3
NEVER,varchar,<blank>,<blank>,IS_DEFAULT,varchar(3),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,APPLICABLE_ROLES,utf8,<blank>,YES,9,3
NEVER,varchar,<blank>,<blank>,CHARACTER_SET_NAME,varchar(32),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHARACTER_SETS,utf8,<blank>,NO,96,32
NEVER,varchar,<blank>,<blank>,DEFAULT_COLLATE_NAME,varchar(32),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHARACTER_SETS,utf8,<blank>,NO,96,32
NEVER,varchar,<blank>,<blank>,DESCRIPTION,varchar(60),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHARACTER_SETS,utf8,<blank>,NO,180,60
4,19,<blank>,<blank>,NEVER,NO,information_schema,CHARACTER_SETS,<blank>,<blank>,<blank>,<blank>,MAXLEN,bigint(3),bigint,<blank>,select,<blank>,0,def,0,<blank>
NEVER,varchar,<blank>,<blank>,CONSTRAINT_CATALOG,varchar(512),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHECK_CONSTRAINTS,utf8,<blank>,NO,1536,512
NEVER,varchar,<blank>,<blank>,CONSTRAINT_SCHEMA,varchar(64),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHECK_CONSTRAINTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,TABLE_NAME,varchar(64),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHECK_CONSTRAINTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,CONSTRAINT_NAME,varchar(64),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHECK_CONSTRAINTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,LEVEL,varchar(6),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHECK_CONSTRAINTS,utf8,<blank>,NO,18,6
NEVER,longtext,<blank>,<blank>,CHECK_CLAUSE,longtext,def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,CHECK_CONSTRAINTS,utf8,<blank>,NO,4294967295,4294967295
NEVER,varchar,<blank>,<blank>,COLLATION_NAME,varchar(32),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLLATIONS,utf8,<blank>,NO,96,32
